season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,LaMelo Ball,,,,6.0,,,,200.0,,,,,,,,,,,,0.556,30.7,,,basketball-reference
2025-26,Regular Season,,Kyle Filipowski,,,,10.0,,,,199.0,,,,,,,,,,,,0.473,17.6,,,basketball-reference
2025-26,Regular Season,,Anthony Edwards,,,,7.0,,,,199.0,,,,,,,,,,,,0.659,34.4,,,basketball-reference
2025-26,Regular Season,,Jaylin Williams,,,,11.0,,,,198.0,,,,,,,,,,,,0.435,14.6,,,basketball-reference
2025-26,Regular Season,,Derik Queen,,,,10.0,,,,198.0,,,,,,,,,,,,0.528,22.6,,,basketball-reference
2025-26,Regular Season,,Khris Middleton,,,,8.0,,,,198.0,,,,,,,,,,,,0.533,17.9,,,basketball-reference
2025-26,Regular Season,,Klay Thompson,,,,10.0,,,,197.0,,,,,,,,,,,,0.422,21.0,,,basketball-reference
2025-26,Regular Season,,Kris Murray,,,,9.0,,,,197.0,,,,,,,,,,,,0.504,10.5,,,basketball-reference
2025-26,Regular Season,,Reed Sheppard,,,,9.0,,,,196.0,,,,,,,,,,,,0.611,20.0,,,basketball-reference
2025-26,Regular Season,,Malik Monk,,,,8.0,,,,195.0,,,,,,,,,,,,0.659,20.7,,,basketball-reference
2025-26,Regular Season,,Cam Spencer,,,,11.0,,,,194.0,,,,,,,,,,,,0.658,19.3,,,basketball-reference
2025-26,Regular Season,,Ace Bailey,,,,10.0,,,,193.0,,,,,,,,,,,,0.43,18.4,,,basketball-reference
2025-26,Regular Season,,Tobias Harris,,,,6.0,,,,193.0,,,,,,,,,,,,0.513,18.3,,,basketball-reference
2025-26,Regular Season,,Buddy Hield,,,,11.0,,,,191.0,,,,,,,,,,,,0.57,18.8,,,basketball-reference
2025-26,Regular Season,,Peyton Watson,,,,9.0,,,,191.0,,,,,,,,,,,,0.589,14.2,,,basketball-reference
2025-26,Regular Season,,Josh Hart,,,,8.0,,,,190.0,,,,,,,,,,,,0.568,15.2,,,basketball-reference
2025-26,Regular Season,,Dru Smith,,,,11.0,,,,188.0,,,,,,,,,,,,0.588,14.6,,,basketball-reference
2025-26,Regular Season,,Goga Bitadze,,,,11.0,,,,187.0,,,,,,,,,,,,0.726,10.5,,,basketball-reference
2025-26,Regular Season,,Mouhamed Gueye,,,,11.0,,,,186.0,,,,,,,,,,,,0.627,16.0,,,basketball-reference
2025-26,Regular Season,,Bruce Brown,,,,9.0,,,,185.0,,,,,,,,,,,,0.538,14.3,,,basketball-reference
2025-26,Regular Season,,Isaiah Jackson,,,,10.0,,,,184.0,,,,,,,,,,,,0.579,17.5,,,basketball-reference
2025-26,Regular Season,,Cam Whitmore,,,,11.0,,,,183.0,,,,,,,,,,,,0.535,23.2,,,basketball-reference
