season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Moses Moody,,,,7.0,,,,164.0,,,,,,,,,,,,0.696,19.6,,,basketball-reference
2025-26,Regular Season,,Klay Thompson,,,,8.0,,,,163.0,,,,,,,,,,,,0.455,22.3,,,basketball-reference
2025-26,Regular Season,,Tim Hardaway Jr.,,,,7.0,,,,163.0,,,,,,,,,,,,0.657,16.0,,,basketball-reference
2025-26,Regular Season,,Kel'el Ware,,,,8.0,,,,162.0,,,,,,,,,,,,0.662,18.2,,,basketball-reference
2025-26,Regular Season,,Kyle Kuzma,,,,7.0,,,,161.0,,,,,,,,,,,,0.611,22.8,,,basketball-reference
2025-26,Regular Season,,Josh Okogie,,,,7.0,,,,161.0,,,,,,,,,,,,0.74,12.1,,,basketball-reference
2025-26,Regular Season,,Jaylin Williams,,,,9.0,,,,160.0,,,,,,,,,,,,0.482,14.5,,,basketball-reference
2025-26,Regular Season,,Moussa Diabaté,,,,8.0,,,,159.0,,,,,,,,,,,,0.675,17.3,,,basketball-reference
2025-26,Regular Season,,Simone Fontecchio,,,,8.0,,,,159.0,,,,,,,,,,,,0.693,20.0,,,basketball-reference
2025-26,Regular Season,,Patrick Williams,,,,7.0,,,,157.0,,,,,,,,,,,,0.598,14.9,,,basketball-reference
2025-26,Regular Season,,Zion Williamson,,,,5.0,,,,157.0,,,,,,,,,,,,0.553,32.3,,,basketball-reference
2025-26,Regular Season,,Keon Ellis,,,,8.0,,,,156.0,,,,,,,,,,,,0.655,12.9,,,basketball-reference
2025-26,Regular Season,,Kris Murray,,,,7.0,,,,156.0,,,,,,,,,,,,0.563,10.0,,,basketball-reference
2025-26,Regular Season,,Cam Spencer,,,,9.0,,,,155.0,,,,,,,,,,,,0.667,19.0,,,basketball-reference
2025-26,Regular Season,,Bobby Portis,,,,8.0,,,,155.0,,,,,,,,,,,,0.474,23.5,,,basketball-reference
2025-26,Regular Season,,Oso Ighodaro,,,,9.0,,,,154.0,,,,,,,,,,,,0.469,14.4,,,basketball-reference
2025-26,Regular Season,,Walker Kessler,,,,5.0,,,,154.0,,,,,,,,,,,,0.786,16.5,,,basketball-reference
2025-26,Regular Season,,Kristaps Porziņģis,,,,6.0,,,,153.0,,,,,,,,,,,,0.602,26.8,,,basketball-reference
2025-26,Regular Season,,Buddy Hield,,,,9.0,,,,152.0,,,,,,,,,,,,0.578,19.0,,,basketball-reference
2025-26,Regular Season,,Norman Powell,,,,5.0,,,,152.0,,,,,,,,,,,,0.673,27.3,,,basketball-reference
2025-26,Regular Season,,Kyle Filipowski,,,,8.0,,,,151.0,,,,,,,,,,,,0.479,17.5,,,basketball-reference
2025-26,Regular Season,,Malik Monk,,,,6.0,,,,151.0,,,,,,,,,,,,0.687,22.2,,,basketball-reference
2025-26,Regular Season,,Derik Queen,,,,8.0,,,,149.0,,,,,,,,,,,,0.546,20.8,,,basketball-reference
2025-26,Regular Season,,Khris Middleton,,,,6.0,,,,149.0,,,,,,,,,,,,0.565,19.1,,,basketball-reference
2025-26,Regular Season,,Anthony Davis,,,,5.0,,,,149.0,,,,,,,,,,,,0.587,28.3,,,basketball-reference
2025-26,Regular Season,,Dalton Knecht,,,,8.0,,,,147.0,,,,,,,,,,,,0.508,16.6,,,basketball-reference
2025-26,Regular Season,,Pelle Larsson,,,,8.0,,,,147.0,,,,,,,,,,,,0.648,14.9,,,basketball-reference
2025-26,Regular Season,,Corey Kispert,,,,8.0,,,,146.0,,,,,,,,,,,,0.617,16.6,,,basketball-reference
2025-26,Regular Season,,Miles McBride,,,,6.0,,,,146.0,,,,,,,,,,,,0.573,15.1,,,basketball-reference
2025-26,Regular Season,,De'Andre Hunter,,,,5.0,,,,146.0,,,,,,,,,,,,0.539,26.8,,,basketball-reference
2025-26,Regular Season,,Isaiah Jackson,,,,8.0,,,,144.0,,,,,,,,,,,,0.6,17.4,,,basketball-reference
2025-26,Regular Season,,Craig Porter Jr.,,,,8.0,,,,144.0,,,,,,,,,,,,0.584,12.4,,,basketball-reference
2025-26,Regular Season,,Cole Anthony,,,,7.0,,,,144.0,,,,,,,,,,,,0.58,23.6,,,basketball-reference
2025-26,Regular Season,,Bruce Brown,,,,7.0,,,,143.0,,,,,,,,,,,,0.56,14.1,,,basketball-reference
